,screenName,description,location,text,Unnamed: 0
29,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Brooklyn Nets star Kyrie Irving, who was suspended for at least five games by the team for comments made after sharing a link to an antisemitic movie on social media, is due this week to miss his eighth consecutive game. https://t.co/4inpXZV81n",509.0
30,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Chinese President Xi Jinping was caught in a rare moment on film lecturing his Canadian counterpart, Prime Minister Justin Trudeau, over what he described as ""leaked"" discussions. https://t.co/axHvFJXFCI",513.0
31,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Homegrown streamer Vidio is Indonesia's most-watched platform, beating global giants. The key to their success, Vidio says? Championing local filmmaking. https://t.co/AyWHEYuWke https://t.co/H6gwo2cfWl",569.0
32,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Homegrown streamer Vidio is Indonesia's most-watched platform, beating global giants. The key to their success, Vidio says? Championing local filmmaking. https://t.co/AyWHEYuWke https://t.co/H6gwo2cfWl",569.0
33,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After the Academy Awards earlier this year, movie watchers and industry insiders alike have wondered what Will Smith's now-infamous, on-air slapping of Chris Rock will mean for the ""King Richard"" actor's career, as well as his future Oscars chances. https://t.co/eMw1gHfgO9",578.0
34,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Candace Cameron Bure has moved on from being the Hallmark Channel’s queen of holiday movies https://t.co/GbcqmfiYXZ,611.0
35,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Quentin Tarantino appears on “Who’s Talking to Chris Wallace?” this week to discuss filmmaking and explains why his tenth movie will definitely be his last https://t.co/Di9Af9pQ2X,646.0
36,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Quentin Tarantino appears on “Who’s Talking to Chris Wallace?” this week to discuss filmmaking and explains why his tenth movie will definitely be his last https://t.co/Di9Af9pQ2X,646.0
37,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Quentin Tarantino appears on “Who’s Talking to Chris Wallace?” this week to discuss filmmaking and explains why his tenth movie will definitely be his last https://t.co/Di9Af9pQ2X,646.0
38,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Academy Award-winning screenwriter and director Quentin Tarantino tells CNN's Chris Wallace that he plans to quit after his next film, but isn't sure what that film will be yet https://t.co/pCpgnKE5Ts https://t.co/CC29XkNA16",657.0
39,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Academy Award-winning screenwriter and director Quentin Tarantino tells CNN's Chris Wallace that he plans to quit after his next film, but isn't sure what that film will be yet https://t.co/pCpgnKE5Ts https://t.co/CC29XkNA16",657.0
40,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Academy Award-winning screenwriter and director Quentin Tarantino tells CNN's Chris Wallace that he plans to quit after his next film, but isn't sure what that film will be yet https://t.co/pCpgnKE5Ts https://t.co/CC29XkNA16",657.0
41,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After former Rep. @GabbyGiffords was shot in the head, she had to relearn to walk and talk, but refused to be silenced. The CNN Film #GabbyMovie shows her remarkable perseverance and her new life as a champion for gun violence prevention. Sunday at 9 p.m. ET/PT https://t.co/bHiUa0SxlT",684.0
42,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After former Rep. @GabbyGiffords was shot in the head, she had to relearn to walk and talk, but refused to be silenced. The CNN Film #GabbyMovie shows her remarkable perseverance and her new life as a champion for gun violence prevention. Sunday at 9 p.m. ET/PT https://t.co/bHiUa0SxlT",684.0
43,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Ho! Ho! Ho! What is your favorite Christmas movie or TV special of all time? Join CNN for the stories behind everything we love to watch during the holidays. Tis the Season: The Holidays on Screen airs Sunday, November 27th at 8 p.m. ET/PT https://t.co/cE8NEQcJUG",733.0
44,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Ho! Ho! Ho! What is your favorite Christmas movie or TV special of all time? Join CNN for the stories behind everything we love to watch during the holidays. Tis the Season: The Holidays on Screen airs Sunday, November 27th at 8 p.m. ET/PT https://t.co/cE8NEQcJUG",733.0
45,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Chinese President Xi Jinping was caught in a rare moment on film lecturing his Canadian counterpart, Prime Minister Justin Trudeau, over what he described as ""leaked"" discussions. https://t.co/glRiIAk88a",771.0
46,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Brooklyn Nets star Kyrie Irving, who was suspended for at least five games by the team for comments made after sharing a link to an antisemitic movie on social media, is due this week to miss his eighth consecutive game. https://t.co/4inpXZV81n",809.0
47,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Chinese President Xi Jinping was caught in a rare moment on film lecturing his Canadian counterpart, Prime Minister Justin Trudeau, over what he described as ""leaked"" discussions. https://t.co/axHvFJXFCI",813.0
48,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Homegrown streamer Vidio is Indonesia's most-watched platform, beating global giants. The key to their success, Vidio says? Championing local filmmaking. https://t.co/AyWHEYuWke https://t.co/H6gwo2cfWl",869.0
49,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Homegrown streamer Vidio is Indonesia's most-watched platform, beating global giants. The key to their success, Vidio says? Championing local filmmaking. https://t.co/AyWHEYuWke https://t.co/H6gwo2cfWl",869.0
50,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After the Academy Awards earlier this year, movie watchers and industry insiders alike have wondered what Will Smith's now-infamous, on-air slapping of Chris Rock will mean for the ""King Richard"" actor's career, as well as his future Oscars chances. https://t.co/eMw1gHfgO9",878.0
51,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Candace Cameron Bure has moved on from being the Hallmark Channel’s queen of holiday movies https://t.co/GbcqmfiYXZ,911.0
52,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"After the Academy Awards earlier this year, movie watchers and industry insiders alike have wondered what Will Smith's now-infamous, on-air slapping of Chris Rock will mean for the ""King Richard"" actor's career, as well as his future Oscars chances. https://t.co/bsfY5GWJDC",940.0
53,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Candace Cameron Bure has moved on from being the Hallmark Channel’s queen of holiday movies https://t.co/aVzKe27Jox,982.0
54,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Surviving was just the beginning. Join CNN for an inside look at how @GabbyGiffords overcame the odds and wrote a new chapter in her inspiring story. 

Gabby Giffords Won’t Back Down. Sunday at 9 p.m. ET/PT. #GabbyMovie https://t.co/DWv8J3Z6Fq",1032.0
55,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Tim Allen steps back into Kris Kringle's red suit for ""The Santa Clauses,"" a streaming series sequel to a popular movie franchise https://t.co/1XeOnEitnW",1048.0
56,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Actor Henry Winkler on turning down lead role in Grease: ""I go home, I say no, and I have a Diet Coke. John Travolta goes home, and has done the movie, and buys a plane."" https://t.co/HoWSx1Bn7v",1070.0
57,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Jennifer Siebel Newsom, a filmmaker and the wife of California Gov. Gavin Newsom, took the stand in Harvey Weinstein’s sexual assault trial in Los Angeles on Monday https://t.co/EvN8ZT0TnZ",1076.0
58,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Rising Democratic Party star @GabbyGiffords beat overwhelming odds when she survived a mass shooting. See her inspiring story from a whole new perspective in the new CNN Film, Gabby Giffords Won’t Back Down. Sunday at 9 p.m. ET/PT. 

#GabbyMovie only on CNN https://t.co/WRI5qt9NcT",1080.0
59,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Rising Democratic Party star @GabbyGiffords beat overwhelming odds when she survived a mass shooting. See her inspiring story from a whole new perspective in the new CNN Film, Gabby Giffords Won’t Back Down. Sunday at 9 p.m. ET/PT. 

#GabbyMovie only on CNN https://t.co/WRI5qt9NcT",1080.0
60,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Tim Allen steps back into Kris Kringle's red suit for ""The Santa Clauses,"" a streaming series sequel to a popular movie franchise https://t.co/jekHxneZVD",1112.0
61,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Since ending his 15-year run as James Bond with “No Time to Die” last year, Daniel Craig hasn't been idle. He's been brushing up his fancy footwork, enthusiastically showcased in a new vodka commercial directed by Oscar-winning filmmaker Taika Waititi. https://t.co/awSGbY54Ip",1130.0
